price	n_bedrooms	place	url	address	distance	time
$3500	4br	University City	https://sandiego.craigslist.org//csd/apa/5452089687.html	5577 Honors Dr.	5.6 mi	12 mins
$1595	1br	west clairemont	https://sandiego.craigslist.org//csd/apa/5452084549.html	Genesee Avenue at Balboa Avenue	7.0 mi	13 mins
$1795	2br	west clairemont	https://sandiego.craigslist.org//csd/apa/5452086192.html	Genesee Avenue at Balboa Avenue	7.0 mi	13 mins
$3125	3br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5448068564.html	9800 Mira Lee	14.7 mi	22 mins
$1895	2br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5452042625.html	9515 Genesee Ave	2.3 mi	7 mins
$1595	1br	UTC/La Jolla	https://sandiego.craigslist.org//csd/apa/5444025129.html	3957 Nobel Drive	3.2 mi	9 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451960827.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451957835.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451959097.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451920124.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451928216.html	3520 Lebon	2.6 mi	8 mins
$1749	1br	UTC, LA JOLLA	https://sandiego.craigslist.org//csd/apa/5451924089.html	3520 Lebon	2.6 mi	8 mins
$1950	1br	UTC	https://sandiego.craigslist.org//csd/apa/5431880218.html	Nobel at Lebon	3.5 mi	10 mins
$1400	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5434870716.html	4th ave at Arbor	14.4 mi	19 mins
$1400	1br		https://sandiego.craigslist.org//csd/apa/5435647694.html	4th ave at Arbor	14.4 mi	19 mins
$1400	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5446422758.html	4th Ave at Arbor	14.4 mi	19 mins
$1400	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5447664594.html	4th street at Arbor	14.4 mi	19 mins
$4000	4br	UTC Area	https://sandiego.craigslist.org//csd/apa/5421463913.html	Lakewood	1,069 mi	15 hours 23 mins
$1750	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5451561893.html	4023 First Ave		
$1450	1br	4376 Kansas St.	https://sandiego.craigslist.org//csd/apa/5451517285.html	4376 Kansas St.	14.9 mi	22 mins
$875	1br	UTC	https://sandiego.craigslist.org//csd/apa/5451414730.html	Genesse at Governor	7.0 mi	13 mins
$2775	3br	UTC, SAN DIEGO, LA JOLLA, TORREY HILLS	https://sandiego.craigslist.org//csd/apa/5451347354.html	9085 Judicial Drive	3.5 mi	11 mins
$1850	2br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5451365482.html	8320 Regents Rd	3.6 mi	10 mins
$2210	2br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5451336553.html	7936 Avenida Navidad	3.8 mi	12 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5451322826.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$5100	5br	Carmel Valley/Del Mar	https://sandiego.craigslist.org//nsd/apa/5451319114.html	pearlman way at seashell Place	7.6 mi	13 mins
$2300	1br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5451261537.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2900	3br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5451275371.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2750	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5451272561.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2050	2br	La Jolla / UTC / San Diego	https://sandiego.craigslist.org//csd/apa/5451221513.html	9515 Genesee Ave	2.3 mi	7 mins
$1860	1br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5451226579.html	7936 Avenida Navidad	3.8 mi	12 mins
$1350	1br	North Park	https://sandiego.craigslist.org//csd/apa/5439580488.html	3943 Kansas St	1,486 mi	20 hours 50 mins
$2240	2br	UTC/La Jolla	https://sandiego.craigslist.org//nsd/apa/5451044489.html	7936 Avenida Navidad	3.8 mi	12 mins
$2210	2br	La Jolla/UTC	https://sandiego.craigslist.org//nsd/apa/5451035772.html	7936 Avenida Navidad	3.8 mi	12 mins
$3300	3br	Pacific Beach N	https://sandiego.craigslist.org//csd/apa/5451024376.html	Turquoise St. at Cass St.	7.0 mi	17 mins
$2325	2br	UTC, GOLDEN TRIANGLE, MIRAMAR	https://sandiego.craigslist.org//csd/apa/5438873686.html	9085 Judicial Dr	3.5 mi	11 mins
$1408	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5450808870.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$1400	1br	Del Mar is Paradise	https://sandiego.craigslist.org//csd/apa/5446970999.html	Carmel Valley Road	2,837 mi	1 day 18 hours
$1595	1br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5446654224.html	3056 Via Alicante	2.4 mi	6 mins
$2600	2br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5446955497.html	9800 Mira Lee	14.7 mi	22 mins
$2350	2br		https://sandiego.craigslist.org//csd/apa/5445413473.html	848 Chalcedony Street	7.6 mi	20 mins
$1995	3br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5450714367.html	17th Street at Island Street	16.2 mi	22 mins
$2225	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5446959079.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$1825	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5446469340.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$2115	2br	UTC, La Jolla	https://sandiego.craigslist.org//csd/apa/5450662645.html	3845 Nobel Drive	3.0 mi	9 mins
$2875	3br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5447666609.html	9800 Mira Lee	14.7 mi	22 mins
$2200	2br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/4S Ranch/Downtown	https://sandiego.craigslist.org//csd/apa/5447658819.html	9800 Mira Lee	14.7 mi	22 mins
$1700	1br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5450627037.html	8540	1 ft	1 min
$1695	1br	La Jolla, CA	https://sandiego.craigslist.org//nsd/apa/5450589049.html	Charmant Dr. at Lebon Dr.	3.3 mi	10 mins
$195	1br	Banker's Hill/Downtown	https://sandiego.craigslist.org//csd/apa/5450577469.html	410 Elm St	3,121 mi	1 day 21 hours
$2025	1br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5450558987.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2625	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5450559429.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$1550	1br	La Jolla	https://sandiego.craigslist.org//csd/apa/5450492619.html	3151 Via Alicante	2.5 mi	6 mins
$1692	1br	UTC/ La Jolla/ University City	https://sandiego.craigslist.org//csd/apa/5450481634.html	4247 Nobel Dr.	3.5 mi	10 mins
$1500	1br	Pacific Beach	https://sandiego.craigslist.org//csd/apa/5418489304.html	ingraham at la playa	9.5 mi	20 mins
$1525	1br	Nobel Drive	https://sandiego.craigslist.org//csd/apa/5450373410.html	3965 Nobel Drive	2.9 mi	9 mins
$1850	2br	University City/UTC/92122	https://sandiego.craigslist.org//csd/apa/5445481271.html	Agee Street at Governor Drive	5.0 mi	15 mins
$1750	1br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5449990878.html	4023 First Ave		
$1035	2br	UTC, La Jolla	https://sandiego.craigslist.org//csd/apa/5449987366.html	8540 Costa Verde Blvd	3.0 mi	9 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5449667601.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5449661487.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5449653987.html	4525 Campus Ave	15.2 mi	21 mins
$2750	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5449629698.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2300	1br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5449625802.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$725		Mission Bay Park - clairemont	https://sandiego.craigslist.org//csd/apa/5424393883.html	Galveston at Napier	9.3 mi	15 mins
$1975	1br	Mira Mesa/Scripps Ranch/Rancho Penasquitos/Downtown/UTC	https://sandiego.craigslist.org//csd/apa/5449577325.html	Westview Parkway at mira mesa blvd	15.1 mi	22 mins
$2330	2br	UTC/ La Jolla	https://sandiego.craigslist.org//csd/apa/5449543219.html	7936 Avenida Navidad	3.8 mi	12 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5429399374.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5429410338.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5429428966.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5430647341.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5433600460.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5433635668.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5433770633.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5443504385.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5443539337.html	4525 Campus Ave	15.2 mi	21 mins
$1795	2br	4525 Campus Ave #1 San Diego CA	https://sandiego.craigslist.org//csd/apa/5443552105.html	4525 Campus Ave	15.2 mi	21 mins
$1950	1br	UTC	https://sandiego.craigslist.org//csd/apa/5436194739.html	Nobel at Lebon	3.5 mi	10 mins
$3000	2br	Downtown	https://sandiego.craigslist.org//csd/apa/5423104316.html	1399 9th Ave	1,888 mi	1 day 4 hours
$5695	4br	La Jolla	https://sandiego.craigslist.org//csd/apa/5443795580.html	La Jolla Scenic Drive South at Castejon Drive	5.1 mi	13 mins
$2430	2br	La Jolla / UTC	https://sandiego.craigslist.org//csd/apa/5449195190.html	8506 Villa la jolla Drive	2.2 mi	6 mins
$2950	3br		https://sandiego.craigslist.org//nsd/apa/5437678216.html	Executive Dr at Regents Rd	2.7 mi	9 mins
$3075	3br	Carmel Valley/Torrey Hills/ Del Mar	https://sandiego.craigslist.org//csd/apa/5449088889.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2210	2br	UTC/ La Jolla	https://sandiego.craigslist.org//csd/apa/5449106141.html	5280 Fiore Terrace	4.0 mi	13 mins
$2625	2br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5449089712.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$2025	1br	Carmel Valley/Torrey Hills/Del Mar	https://sandiego.craigslist.org//csd/apa/5449086117.html	10615 Calle Mar De Mariposa	3.6 mi	11 mins
$1550	1br	La Jolla	https://sandiego.craigslist.org//csd/apa/5448983566.html	3151 Via Alicante	2.5 mi	6 mins
$1615	1br	UTC/La Jolla	https://sandiego.craigslist.org//csd/apa/5448867108.html	Nobel drive at Cargill and Genesee	3.5 mi	10 mins
$1850	2br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5448767591.html	Front St. at West Brookes	14.2 mi	19 mins
$1850	2br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5448747314.html	8320 Regents Rd	3.6 mi	10 mins
$1895	2br	3064 Jemez Drive San Diego, CA	https://sandiego.craigslist.org//csd/apa/5439852743.html	3064 Jemez Drive	6.0 mi	13 mins
$2245	2br	Hillcrest	https://sandiego.craigslist.org//csd/apa/5438436498.html	3919 Normal St.	14.8 mi	21 mins
$800	2br	San Diego	https://sandiego.craigslist.org//csd/apa/5438975178.html	via regla	5.7 mi	16 mins
$4300	3br	pacific beach	https://sandiego.craigslist.org//csd/apa/5448432693.html	felspar street at mission blvd.	7.6 mi	20 mins
$1325			https://sandiego.craigslist.org//csd/apa/5448000571.html	Genesee Ave at Regents Rd	7.0 mi	13 mins
$3900	3br	Carlsbad	https://sandiego.craigslist.org//nsd/apa/5440295393.html	2748 Carlsbad Blvd	23.6 mi	28 mins
$3700	5br	University City	https://sandiego.craigslist.org//csd/apa/5447747028.html	Sandburg Ave. at Honors Drive	5.5 mi	12 mins
$2562	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5447728763.html	8465 Regents Road	3.1 mi	9 mins
$1850	2br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5447586547.html	8320 Regents Rd	3.6 mi	10 mins
$3150	3br	92037	https://sandiego.craigslist.org//csd/apa/5447221238.html	morning way at villa la jolla dr	2.1 mi	7 mins
$4600	3br	La Jolla	https://sandiego.craigslist.org//csd/apa/5447183795.html	Alta La Jolla at Cardeno	6.3 mi	16 mins
$1480	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5447062620.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$2400	2br	La Jolla Colony	https://sandiego.craigslist.org//csd/apa/5446774949.html	Regents at Arriba	3.8 mi	11 mins
$1995	1br	UTC/La Jolla/UCSD/University City	https://sandiego.craigslist.org//csd/apa/5413581091.html	3440 Lebon Drive	2.8 mi	8 mins
$4000	4br	La Jolla	https://sandiego.craigslist.org//csd/apa/5446572683.html	8931 Caminito Fresco	1.8 mi	6 mins
$2325	2br	UTC, GOLDEN TRIANGLE, MIRAMAR	https://sandiego.craigslist.org//csd/apa/5446415311.html	9085 Judicial Dr	3.5 mi	11 mins
$1850	2br	San Diego, CA	https://sandiego.craigslist.org//csd/apa/5446314689.html	8320 Regents Rd	3.6 mi	10 mins
$2450	2br	UNIVERSITY HTS/HILLCREST/NORTH PARK	https://sandiego.craigslist.org//csd/apa/5445863355.html	4561 Texas Street	15.3 mi	21 mins
$2095	1br	Del Mar	https://sandiego.craigslist.org//nsd/apa/5445609160.html	201 Fourth Street	488 mi	7 hours 23 mins
$2795	2br	Del Mar, Ca	https://sandiego.craigslist.org//nsd/apa/5445606885.html	201 Fourth Street	488 mi	7 hours 23 mins
$1595	1br	UTC	https://sandiego.craigslist.org//csd/apa/5445547153.html	Caminito Plaza Centro at Nobel	2.7 mi	8 mins
$1724	1br	UTC / La Jolla / University City	https://sandiego.craigslist.org//csd/apa/5445513714.html	4247 Nobel Dr.	3.5 mi	10 mins
$2400	2br	UTC	https://sandiego.craigslist.org//csd/apa/5445489461.html	Via Marin at Via Sonoma	2.9 mi	8 mins
$1325			https://sandiego.craigslist.org//csd/apa/5445227174.html	Genesee Ave. at Regents Rd.	7.0 mi	13 mins
$3205	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5445224757.html	8465 Regents Rd	3.1 mi	9 mins
$1635	1br	UTC, La Jolla	https://sandiego.craigslist.org//csd/apa/5445153026.html	3845 Nobel Drive	3.0 mi	9 mins
$2340	2br	UTC/ La Jolla	https://sandiego.craigslist.org//csd/apa/5445125237.html	Lebon Drive at Nobel Drive	2.7 mi	8 mins
$1595	1br	UTC, La Jolla,	https://sandiego.craigslist.org//csd/apa/5445105439.html	3417 Lebon Drive	2.7 mi	8 mins
$1480	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5444969792.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$1850	2br	Sabre Springs	https://sandiego.craigslist.org//nsd/apa/5444747521.html	Sabre Hill at Evening Creek	15.7 mi	21 mins
$1200	3br	Ocean Beach	https://sandiego.craigslist.org//csd/apa/5444703430.html	4931 Coronado Ave	13.7 mi	25 mins
$1950	1br	La Jolla	https://sandiego.craigslist.org//nsd/apa/5444429249.html	Ave Manana at Nautilus	6.3 mi	16 mins
$2325	2br	UTC, LA JOLLA, MIRAMAR, MIRA MESA	https://sandiego.craigslist.org//csd/apa/5444201168.html	9085 JUDICIAL DR	3.5 mi	11 mins
$1550		San Diego	https://sandiego.craigslist.org//csd/apa/5444137649.html	3927 Nobel Drive	3.2 mi	9 mins
$2250	2br	UTC, LA JOLLA, MIRAMAR, MIRA MESA	https://sandiego.craigslist.org//csd/apa/5436321605.html	9085 JUDICIAL DR	3.5 mi	11 mins
$1595	1br	UTC, La Jolla,	https://sandiego.craigslist.org//csd/apa/5426389220.html	3417 Lebon Drive	2.7 mi	8 mins
$1491	1br	La Jolla, UCSD, San Diego, UTC	https://sandiego.craigslist.org//csd/apa/5444045117.html	via mallorca at villa la jolla drive	2.6 mi	7 mins
$1620	1br	UTC/ La Jolla/ University City	https://sandiego.craigslist.org//csd/apa/5443929693.html	4247 Nobel Dr.	3.5 mi	10 mins
$2936	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5443778536.html	Regents Road at Nobel Road	3.8 mi	11 mins
$2730	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5443768742.html	Regents Road at Nobel Road	3.8 mi	11 mins
$2735	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5443765297.html	8465 Regents Court	3.1 mi	9 mins
$2500	2br	UCSD UTC San Diego	https://sandiego.craigslist.org//csd/apa/5443755108.html	8465 Regents Road	3.1 mi	9 mins
$2290	2br	UTC/La Jolla	https://sandiego.craigslist.org//csd/apa/5443743670.html	7205 Charmant Dr.	3.3 mi	10 mins
$1620	1br	UTC/ La Jolla/ University City	https://sandiego.craigslist.org//csd/apa/5443625733.html	4247 Nobel Dr.	3.5 mi	10 mins
$1736	1br	UTC / La Jolla / University City	https://sandiego.craigslist.org//csd/apa/5443627244.html	4247 Nobel Dr.	3.5 mi	10 mins
$1693	1br	UTC / La Jolla / University City	https://sandiego.craigslist.org//csd/apa/5443630913.html	4247 Nobel Dr.	3.5 mi	10 mins
$2325	2br	UTC, LA JOLLA, MIRAMAR, MIRA MESA	https://sandiego.craigslist.org//csd/apa/5443634932.html	9085 JUDICIAL DR	3.5 mi	11 mins
$2000	2br		https://sandiego.craigslist.org//csd/apa/5443619310.html	regents road at nobel drive	3.8 mi	11 mins
$1615	1br	UTC/La Jolla	https://sandiego.craigslist.org//nsd/apa/5443612611.html	Nobel drive at Cargill and Genesee	3.5 mi	10 mins
$2340	2br	UTC/ La Jolla	https://sandiego.craigslist.org//csd/apa/5411544588.html	Lebon Drive at Nobel Drive	2.7 mi	8 mins
$1595	1br	UTC, La Jolla,	https://sandiego.craigslist.org//csd/apa/5443483897.html	3417 Lebon Drive	2.7 mi	8 mins
